,Averaging Time (s),Frequency (Hz),InPhase Standard Deviation X (V),InPhase X (V),OutPhase Standard Deviation Y (V),OutPhase Y (V),Power,RHeater,Thin Film Thickness,Z1 Heater Length,Z2 Heater Width,Z3 Porosity
23,1.0,1344.8337952561792,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
24,1.0,1586.6276601133095,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
25,1.0,1871.8947580857716,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
26,1.0,2208.4513420740127,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
27,1.0,2605.5189851036644,0.0,0.035187,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
28,1.0,3073.9772493063706,0.0,0.035187,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
29,1.0,3626.661783420931,0.0,0.035187,0.0,0.000518803,0.0,0,0.0,0.0,0.0,0
30,1.0,4278.716016617797,0.0,0.035187,0.0,0.000518803,0.0,0,0.0,0.0,0.0,0
31,1.0,5048.0060849768,0.0,0.035187,0.0,0.00054932,0.0,0,0.0,0.0,0.0,0
32,1.0,5955.610359508243,0.0,0.035187,0.0,0.00054932,0.0,0,0.0,0.0,0.0,0
33,1.0,7026.396988672592,0.0,0.035187,0.0,0.00054932,0.0,0,0.0,0.0,0.0,0
34,1.0,8289.705279931004,0.0,0.0352175,0.0,0.000579838,0.0,0,0.0,0.0,0.0,0
35,1.0,9780.149590024546,0.0,0.035187,0.0,0.000579838,0.0,0,0.0,0.0,0.0,0
36,1.0,11538.56775039093,0.0,0.0352175,0.0,0.000610355,0.0,0,0.0,0.0,0.0,0
37,1.0,13613.14001435713,0.0,0.0352175,0.0,0.000640873,0.0,0,0.0,0.0,0.0,0
38,1.0,16060.709185003725,0.0,0.0352175,0.0,0.000640873,0.0,0,0.0,0.0,0.0,0
39,1.0,18948.338094900886,0.0,0.0352175,0.0,0.00067139,0.0,0,0.0,0.0,0.0,0
40,1.0,22355.147112302868,0.0,0.0352175,0.0,0.000732426,0.0,0,0.0,0.0,0.0,0
41,1.0,26374.482021048047,0.0,0.0352175,0.0,0.000793461,0.0,0,0.0,0.0,0.0,0
42,1.0,31116.471673575557,0.0,0.0352175,0.0,0.000823978,0.0,0,0.0,0.0,0.0,0
43,1.0,36711.04549616308,0.0,0.0352175,0.0,0.000915531,0.0,0,0.0,0.0,0.0,0
44,1.0,43311.49352533558,0.0,0.0352175,0.0,0.00097657,0.0,0,0.0,0.0,0.0,0
45,1.0,51098.66651962411,0.0,0.0352175,0.0,0.00103761,0.0,0,0.0,0.0,0.0,0
46,1.0,60285.9312287713,0.0,0.035187,0.0,0.00115968,0.0,0,0.0,0.0,0.0,0
47,1.0,71125.01659362044,0.0,0.035187,0.0,0.00125123,0.0,0,0.0,0.0,0.0,0
48,1.0,83912.91106122118,0.0,0.0351565,0.0,0.00140382,0.0,0,0.0,0.0,0.0,0
49,1.0,98999.99999999991,0.0,0.035187,0.0,0.00149537,0.0,0,0.0,0.0,0.0,0
